event_id,deployment_id,event_start,event_end,category,classification_label,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,taxon_variant,scientific_name,common_name,count,sex,life_stage,behavior,event_notes,is_confirmed
6e65d8eb-042b-4217-b5e8-d7c9cb6973fd,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T08:47:40-07:00,2026-08-12T08:47:51-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
15af50d8-5c61-4295-97f9-2c1a11193eaa,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T08:56:00-07:00,2026-08-12T08:56:11-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
4284c605-ad90-4995-814f-7c6b8f777560,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T08:58:33-07:00,2026-08-12T09:00:00-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
13889614-4a96-45a6-9ce1-84131c75ba6f,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-12T09:40:33-07:00,2026-08-12T09:42:22-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
4e144ba3-f1d3-4cda-b545-7f015653ac38,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T10:02:56-07:00,2026-08-12T10:03:34-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
c7ce23da-4d1d-4b24-bd2a-d78e23c08fba,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T11:05:24-07:00,2026-08-12T11:06:25-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
0b898817-0cf0-4691-9dc2-141feaf70880,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-12T11:55:02-07:00,2026-08-12T11:55:36-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
d1590c84-54f2-4129-a78c-ba4f48dc942e,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T14:03:11-07:00,2026-08-12T14:04:11-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
725c78bc-d523-46ab-9409-f6b1ef11f5d2,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-12T15:32:15-07:00,2026-08-12T15:32:25-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
b38038eb-e077-4403-ae1f-9efa137ac902,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T16:10:41-07:00,2026-08-12T16:10:52-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
